n, isnull, coverage, ICP, x, y, RMS, r1c1, r2c1, r3c1, r1c2, r2c2, r3c2, r1c3, r2c3, r3c3, r1c4, r2c4, r3c4
1,TRUE,NA,FALSE,580815.601726901,5810905.25922156,,
4,TRUE,NA,FALSE,580860.809256277,5810905.25922156,,
6,TRUE,NA,FALSE,580890.947609194,5810905.25922156,,
5,TRUE,NA,FALSE,580875.878432735,5810905.25922156,,
3,TRUE,NA,FALSE,580845.740079818,5810905.25922156,,
2,TRUE,NA,FALSE,580830.67090336,5810905.25922156,,
8,TRUE,NA,FALSE,580921.085962111,5810905.25922156,,
9,TRUE,NA,FALSE,580936.15513857,5810905.25922156,,
11,TRUE,NA,FALSE,580966.293491487,5810905.25922156,,
13,TRUE,NA,FALSE,580996.431844404,5810905.25922156,,
7,TRUE,NA,FALSE,580906.016785652,5810905.25922156,,
14,TRUE,NA,FALSE,581011.501020862,5810905.25922156,,
15,TRUE,NA,FALSE,581026.570197321,5810905.25922156,,
16,TRUE,NA,FALSE,581041.639373779,5810905.25922156,,
17,TRUE,NA,FALSE,581056.708550238,5810905.25922156,,
18,TRUE,NA,FALSE,581071.777726696,5810905.25922156,,
19,TRUE,NA,FALSE,581086.846903155,5810905.25922156,,
20,TRUE,NA,FALSE,581101.916079613,5810905.25922156,,
21,TRUE,NA,FALSE,581116.985256072,5810905.25922156,,
22,TRUE,NA,FALSE,581132.054432531,5810905.25922156,,
23,TRUE,NA,FALSE,581147.123608989,5810905.25922156,,
24,TRUE,NA,FALSE,581162.192785448,5810905.25922156,,
27,TRUE,NA,FALSE,581207.400314823,5810905.25922156,,
26,TRUE,NA,FALSE,581192.331138365,5810905.25922156,,
25,TRUE,NA,FALSE,581177.261961906,5810905.25922156,,
29,TRUE,NA,FALSE,581237.53866774,5810905.25922156,,
30,TRUE,NA,FALSE,581252.607844199,5810905.25922156,,
28,TRUE,NA,FALSE,581222.469491282,5810905.25922156,,
31,TRUE,NA,FALSE,581267.677020657,5810905.25922156,,
32,TRUE,NA,FALSE,581282.746197116,5810905.25922156,,
33,TRUE,NA,FALSE,581297.815373574,5810905.25922156,,
34,TRUE,NA,FALSE,581312.884550033,5810905.25922156,,
12,TRUE,NA,FALSE,580981.362667945,5810905.25922156,,
35,TRUE,NA,FALSE,581327.953726492,5810905.25922156,,
36,TRUE,NA,FALSE,581343.02290295,5810905.25922156,,
37,TRUE,NA,FALSE,581358.092079409,5810905.25922156,,
38,TRUE,NA,FALSE,581373.161255867,5810905.25922156,,
40,TRUE,NA,FALSE,581403.299608784,5810905.25922156,,
39,TRUE,NA,FALSE,581388.230432326,5810905.25922156,,
41,TRUE,NA,FALSE,581418.368785243,5810905.25922156,,
46,TRUE,NA,FALSE,581493.714667536,5810905.25922156,,
43,TRUE,NA,FALSE,581448.50713816,5810905.25922156,,

42,TRUE,NA,FALSE,581433.437961701,5810905.25922156,,
47,TRUE,NA,FALSE,581508.783843994,5810905.25922156,,
48,TRUE,NA,FALSE,581523.853020453,5810905.25922156,,
51,TRUE,NA,FALSE,581569.060549828,5810905.25922156,,
49,TRUE,NA,FALSE,581538.922196911,5810905.25922156,,
52,TRUE,NA,FALSE,581584.129726287,5810905.25922156,,
53,TRUE,NA,FALSE,581599.198902745,5810905.25922156,,
55,TRUE,NA,FALSE,581629.337255663,5810905.25922156,,
54,TRUE,NA,FALSE,581614.268079204,5810905.25922156,,
59,TRUE,NA,FALSE,581689.613961497,5810905.25922156,,
60,TRUE,NA,FALSE,581704.683137955,5810905.25922156,,
62,TRUE,NA,FALSE,581734.821490872,5810905.25922156,,
64,TRUE,NA,FALSE,581764.959843789,5810905.25922156,,
65,TRUE,NA,FALSE,581780.029020248,5810905.25922156,,
67,TRUE,NA,FALSE,581810.167373165,5810905.25922156,,
68,TRUE,NA,FALSE,581825.236549624,5810905.25922156,,
70,TRUE,NA,FALSE,581855.374902541,5810905.25922156,,
69,TRUE,NA,FALSE,581840.305726082,5810905.25922156,,
71,TRUE,NA,FALSE,581870.444078999,5810905.25922156,,
77,TRUE,NA,FALSE,581960.85913775,5810905.25922156,,
78,TRUE,NA,FALSE,581975.928314209,5810905.25922156,,
79,TRUE,NA,FALSE,581990.997490668,5810905.25922156,,
80,TRUE,NA,FALSE,582006.066667126,5810905.25922156,,
81,TRUE,NA,FALSE,582021.135843585,5810905.25922156,,
82,TRUE,NA,FALSE,582036.205020043,5810905.25922156,,
83,TRUE,NA,FALSE,582051.274196502,5810905.25922156,,
84,TRUE,NA,FALSE,582066.34337296,5810905.25922156,,
85,TRUE,NA,FALSE,582081.412549419,5810905.25922156,,
86,TRUE,NA,FALSE,582096.481725877,5810905.25922156,,
87,TRUE,NA,FALSE,582111.550902336,5810905.25922156,,
88,TRUE,NA,FALSE,582126.620078794,5810905.25922156,,
89,TRUE,NA,FALSE,582141.689255253,5810905.25922156,,
90,TRUE,NA,FALSE,582156.758431711,5810905.25922156,,
91,TRUE,NA,FALSE,582171.82760817,5810905.25922156,,
92,TRUE,NA,FALSE,582186.896784629,5810905.25922156,,
93,TRUE,NA,FALSE,582201.965961087,5810905.25922156,,
94,TRUE,NA,FALSE,580815.601726901,5810920.30256702,,
95,TRUE,NA,FALSE,580830.67090336,5810920.30256702,,
96,TRUE,NA,FALSE,580845.740079818,5810920.30256702,,
97,TRUE,NA,FALSE,580860.809256277,5810920.30256702,,
98,TRUE,NA,FALSE,580875.878432735,5810920.30256702,,
99,TRUE,NA,FALSE,580890.947609194,5810920.30256702,,
